Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
0,37.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,37.0,37.0
1,37.0,33.0,33.0,33.0,38.0,33.0,33.0,38.0,36.0,32.0,35.0
2,36.0,33.0,33.0,33.0,38.0,35.0,33.0,39.0,35.0,33.0,35.0
3,36.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,36.0,38.0
4,36.0,32.0,32.0,32.0,37.0,32.0,32.0,37.0,35.0,31.0,35.0
5,37.0,36.0,36.0,36.0,39.0,36.0,36.0,40.0,36.0,35.0,37.0
6,37.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,37.0,37.0,37.0
7,37.0,33.0,33.0,33.0,38.0,33.0,33.0,38.0,36.0,32.0,35.0
8,38.0,36.0,36.0,36.0,38.0,36.0,36.0,39.0,37.0,36.0,36.0
9,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,37.0,38.0
10,39.0,35.0,35.0,35.0,39.0,35.0,35.0,39.0,39.0,34.0,36.0
11,39.0,33.0,33.0,34.0,39.0,35.0,34.0,39.0,39.0,34.0,36.0
12,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
13,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.0,39.0
14,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.0,39.0
15,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
16,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0
17,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0
18,35.0,36.0,36.0,36.0,38.0,36.0,36.0,36.0,36.0,35.0,37.0
19,35.0,31.0,31.0,31.0,38.0,31.0,31.0,36.0,34.0,30.0,34.0
20,36.0,35.0,35.0,35.0,38.0,35.0,35.0,39.0,35.0,34.0,39.0
21,36.0,37.0,37.0,37.0,38.0,37.0,37.0,37.0,36.0,36.0,38.0
22,36.0,32.0,32.0,32.0,38.0,32.0,32.0,37.0,35.0,31.0,35.0
23,38.0,36.0,36.0,36.0,39.0,36.0,36.0,38.0,37.0,35.0,40.0
24,41.0,37.0,37.0,37.0,41.0,37.0,37.0,41.0,41.0,36.0,38.0
25,38.0,35.0,35.0,35.0,40.0,35.0,35.0,38.0,38.0,34.0,39.0
26,43.0,36.0,36.0,36.0,43.0,36.0,36.0,43.0,43.0,36.0,36.0
27,41.0,37.0,37.0,37.0,41.0,37.0,37.0,41.0,40.0,37.0,39.0
28,38.0,38.0,38.0,38.0,40.0,38.0,38.0,38.0,38.0,37.0,39.0
29,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,42.0,42.0,42.0
30,38.0,38.0,38.0,38.0,40.0,38.0,38.0,38.0,38.0,38.0,40.0
31,39.0,39.0,39.0,39.0,41.0,39.0,39.0,39.0,39.0,38.0,40.0
32,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.0,43.0,43.0
33,37.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,37.0,37.0,37.0
