Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7
92,60.0,60.0,56.0,56.0,61.0,61.0,61.0,64.0
93,69.0,69.0,60.0,60.0,56.0,62.0,55.0,63.0
94,60.0,60.0,61.0,61.0,61.0,62.0,61.0,65.0
95,61.0,61.0,61.0,61.0,61.0,62.0,61.0,65.0
96,62.0,62.0,60.0,60.0,55.0,61.0,55.0,56.0
97,57.0,57.0,61.0,61.0,61.0,59.0,61.0,58.0
98,61.0,61.0,61.0,61.0,61.0,59.0,61.0,58.0
99,68.0,68.0,59.0,59.0,55.0,61.0,54.0,62.0
100,59.0,59.0,61.0,61.0,60.0,62.0,60.0,64.0
101,60.0,60.0,61.0,61.0,60.0,62.0,60.0,64.0
102,61.0,61.0,60.0,60.0,56.0,61.0,55.0,55.0
103,56.0,56.0,62.0,62.0,61.0,59.0,61.0,57.0
104,60.0,60.0,62.0,62.0,61.0,59.0,61.0,57.0
105,52.0,53.0,50.0,55.0,48.0,54.0,47.0,56.0
106,47.0,48.0,52.0,52.0,54.0,50.0,53.0,58.0
107,51.0,52.0,52.0,53.0,54.0,52.0,53.0,58.0
108,44.0,44.0,52.0,52.0,39.0,50.0,39.0,47.0
109,45.0,45.0,52.0,52.0,45.0,48.0,45.0,50.0
110,49.0,49.0,54.0,54.0,45.0,48.0,45.0,49.0
111,53.0,53.0,60.0,60.0,48.0,56.0,48.0,49.0
112,47.0,47.0,55.0,55.0,54.0,49.0,54.0,50.0
113,51.0,51.0,55.0,55.0,54.0,51.0,54.0,51.0
114,52.0,52.0,59.0,59.0,49.0,55.0,48.0,48.0
115,46.0,46.0,54.0,54.0,53.0,52.0,53.0,50.0
116,50.0,50.0,54.0,54.0,53.0,50.0,54.0,50.0
117,45.0,45.0,51.0,51.0,42.0,49.0,41.0,49.0
118,45.0,46.0,52.0,52.0,47.0,51.0,45.0,51.0
119,51.0,51.0,53.0,53.0,47.0,51.0,47.0,51.0
120,57.0,57.0,60.0,60.0,49.0,57.0,49.0,56.0
