Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5
121,50.0,47.0,45.0,50.0,50.0,45.0
122,47.0,48.0,47.0,50.0,50.0,47.0
123,43.0,46.0,46.0,45.0,45.0,45.0
124,50.0,46.0,45.0,49.0,49.0,45.0
125,46.0,47.0,47.0,50.0,50.0,47.0
126,44.0,46.0,45.0,46.0,46.0,45.0
127,50.0,47.0,46.0,50.0,50.0,46.0
128,46.0,48.0,47.0,50.0,50.0,47.0
129,42.0,45.0,45.0,44.0,44.0,44.0
130,49.0,46.0,44.0,48.0,48.0,44.0
131,45.0,47.0,46.0,49.0,49.0,46.0
132,43.0,45.0,44.0,45.0,45.0,44.0
133,49.0,46.0,45.0,49.0,49.0,45.0
134,46.0,47.0,46.0,50.0,50.0,46.0
135,40.0,43.0,41.0,46.0,46.0,42.0
136,46.0,44.0,42.0,48.0,48.0,42.0
137,45.0,47.0,46.0,50.0,50.0,46.0
138,44.0,47.0,45.0,47.0,47.0,45.0
139,50.0,48.0,45.0,50.0,50.0,45.0
140,50.0,48.0,46.0,50.0,50.0,46.0
141,45.0,49.0,45.0,49.0,49.0,45.0
142,51.0,50.0,46.0,50.0,50.0,46.0
143,50.0,51.0,47.0,51.0,51.0,47.0
144,45.0,50.0,46.0,50.0,50.0,46.0
145,51.0,48.0,46.0,50.0,50.0,46.0
146,50.0,52.0,48.0,52.0,52.0,48.0
147,45.0,49.0,45.0,49.0,49.0,45.0
148,51.0,50.0,45.0,49.0,49.0,46.0
149,49.0,51.0,48.0,51.0,51.0,48.0
150,45.0,50.0,46.0,50.0,50.0,46.0
151,51.0,48.0,46.0,50.0,50.0,46.0
152,49.0,52.0,48.0,52.0,52.0,48.0
153,45.0,48.0,44.0,48.0,48.0,45.0
154,51.0,49.0,45.0,50.0,50.0,46.0
155,47.0,53.0,46.0,53.0,53.0,47.0
156,44.0,48.0,44.0,48.0,48.0,44.0
157,50.0,49.0,44.0,48.0,48.0,45.0
158,48.0,50.0,48.0,50.0,50.0,48.0
159,44.0,49.0,45.0,49.0,49.0,45.0
160,50.0,47.0,45.0,49.0,49.0,45.0
161,48.0,51.0,48.0,51.0,51.0,48.0
162,44.0,47.0,43.0,47.0,47.0,44.0
163,50.0,48.0,44.0,49.0,49.0,45.0
164,46.0,52.0,45.0,52.0,52.0,46.0
165,43.0,43.0,42.0,47.0,47.0,42.0
166,46.0,44.0,42.0,48.0,48.0,42.0
167,45.0,47.0,46.0,49.0,49.0,46.0
