Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4
143,61.0,62.0,60.0,59.0,59.0
144,62.0,61.0,61.0,57.0,59.0
145,61.0,61.0,60.0,58.0,60.0
146,61.0,61.0,60.0,59.0,59.0
147,62.0,61.0,61.0,57.0,59.0
148,61.0,60.0,60.0,59.0,60.0
149,62.0,61.0,61.0,58.0,60.0
150,61.0,60.0,60.0,57.0,59.0
151,61.0,61.0,60.0,59.0,60.0
152,62.0,62.0,61.0,59.0,60.0
153,60.0,59.0,59.0,57.0,59.0
154,61.0,61.0,60.0,58.0,60.0
155,61.0,61.0,60.0,59.0,60.0
156,61.0,60.0,60.0,56.0,58.0
157,60.0,59.0,59.0,58.0,59.0
158,61.0,60.0,60.0,57.0,59.0
159,60.0,59.0,59.0,57.0,58.0
160,61.0,60.0,60.0,59.0,59.0
161,61.0,61.0,60.0,58.0,59.0
162,60.0,59.0,59.0,57.0,58.0
163,61.0,61.0,60.0,59.0,59.0
164,61.0,61.0,60.0,58.0,59.0
165,60.0,59.0,59.0,47.0,57.0
166,61.0,61.0,60.0,51.0,58.0
167,61.0,61.0,60.0,48.0,58.0
