Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12
57,33.0,31.0,33.0,30.0,33.0,31.0,32.0,31.0,34.0,33.0,28.0,33.0,33.0
58,35.0,33.0,34.0,32.0,34.0,33.0,34.0,33.0,35.0,35.0,33.0,33.0,35.0
59,35.0,33.0,34.0,32.0,34.0,33.0,34.0,32.0,35.0,35.0,31.0,34.0,35.0
60,34.0,32.0,33.0,30.0,33.0,32.0,33.0,30.0,35.0,34.0,27.0,33.0,34.0
61,34.0,34.0,35.0,31.0,34.0,34.0,35.0,31.0,36.0,36.0,30.0,34.0,35.0
62,34.0,32.0,35.0,31.0,35.0,34.0,35.0,31.0,36.0,36.0,30.0,34.0,35.0
63,31.0,29.0,30.0,31.0,30.0,30.0,30.0,31.0,32.0,29.0,31.0,30.0,32.0
64,29.0,31.0,27.0,31.0,27.0,27.0,27.0,31.0,29.0,27.0,31.0,27.0,30.0
65,29.0,31.0,25.0,33.0,25.0,25.0,25.0,33.0,28.0,25.0,33.0,28.0,28.0
66,32.0,30.0,31.0,30.0,31.0,31.0,31.0,32.0,33.0,30.0,30.0,31.0,33.0
67,30.0,32.0,28.0,32.0,28.0,28.0,28.0,32.0,30.0,28.0,32.0,28.0,31.0
68,28.0,32.0,26.0,32.0,26.0,26.0,26.0,32.0,29.0,26.0,32.0,27.0,29.0
69,31.0,30.0,33.0,31.0,33.0,31.0,31.0,31.0,29.0,29.0,31.0,31.0,32.0
70,30.0,32.0,29.0,31.0,29.0,27.0,27.0,31.0,27.0,27.0,31.0,28.0,32.0
71,30.0,30.0,28.0,32.0,28.0,27.0,27.0,32.0,28.0,27.0,32.0,27.0,34.0
72,33.0,30.0,32.0,30.0,32.0,30.0,31.0,31.0,32.0,31.0,30.0,31.0,32.0
73,31.0,31.0,31.0,30.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,34.0
74,32.0,32.0,33.0,31.0,31.0,31.0,33.0,33.0,33.0,33.0,31.0,32.0,34.0
75,33.0,31.0,32.0,30.0,31.0,31.0,32.0,30.0,33.0,32.0,30.0,32.0,33.0
76,32.0,32.0,32.0,30.0,32.0,32.0,32.0,30.0,32.0,32.0,29.0,32.0,35.0
77,33.0,33.0,34.0,31.0,32.0,32.0,34.0,31.0,34.0,34.0,30.0,33.0,35.0
78,31.0,31.0,31.0,30.0,31.0,31.0,31.0,30.0,31.0,31.0,28.0,31.0,34.0
