Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8
82,51.0,47.0,51.0,47.0,48.0,48.0,47.0,46.0,46.0
83,49.0,48.0,48.0,48.0,49.0,49.0,51.0,48.0,48.0
84,52.0,52.0,52.0,52.0,49.0,49.0,48.0,47.0,47.0
85,50.0,49.0,50.0,49.0,52.0,52.0,49.0,48.0,48.0
86,54.0,54.0,54.0,54.0,54.0,54.0,53.0,53.0,53.0
87,53.0,53.0,53.0,53.0,50.0,50.0,49.0,48.0,48.0
88,51.0,50.0,51.0,50.0,53.0,53.0,50.0,49.0,49.0
89,55.0,55.0,55.0,55.0,55.0,55.0,54.0,54.0,54.0
90,49.0,49.0,47.0,47.0,49.0,49.0,48.0,48.0,48.0
91,47.0,47.0,47.0,47.0,48.0,48.0,50.0,49.0,49.0
92,46.0,45.0,45.0,45.0,48.0,48.0,50.0,50.0,50.0
93,52.0,52.0,52.0,52.0,50.0,50.0,49.0,49.0,49.0
94,53.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0
95,52.0,52.0,51.0,51.0,52.0,52.0,51.0,51.0,51.0
96,53.0,53.0,53.0,53.0,50.0,50.0,50.0,50.0,50.0
97,54.0,54.0,54.0,54.0,54.0,54.0,53.0,53.0,53.0
98,53.0,53.0,51.0,51.0,53.0,53.0,51.0,51.0,51.0
99,51.0,51.0,51.0,51.0,50.0,50.0,50.0,50.0,50.0
100,52.0,52.0,52.0,52.0,52.0,52.0,51.0,51.0,51.0
101,51.0,51.0,50.0,50.0,52.0,52.0,51.0,51.0,51.0
102,52.0,52.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0
103,53.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0
104,52.0,52.0,51.0,51.0,53.0,53.0,50.0,50.0,50.0
105,50.0,50.0,49.0,49.0,49.0,49.0,48.0,47.0,47.0
106,50.0,50.0,49.0,49.0,52.0,52.0,49.0,48.0,48.0
107,52.0,52.0,51.0,51.0,53.0,53.0,49.0,49.0,49.0
108,47.0,46.0,47.0,46.0,48.0,48.0,48.0,44.0,44.0
109,43.0,42.0,43.0,42.0,48.0,48.0,45.0,39.0,39.0
110,46.0,44.0,47.0,45.0,47.0,47.0,47.0,43.0,43.0
111,48.0,47.0,46.0,45.0,47.0,47.0,47.0,43.0,43.0
112,45.0,43.0,46.0,44.0,48.0,48.0,47.0,42.0,42.0
113,47.0,46.0,47.0,46.0,49.0,49.0,51.0,44.0,44.0
114,49.0,49.0,49.0,49.0,49.0,49.0,48.0,44.0,44.0
115,48.0,47.0,48.0,47.0,52.0,52.0,49.0,45.0,45.0
116,53.0,52.0,53.0,52.0,52.0,52.0,50.0,49.0,49.0
117,50.0,50.0,50.0,50.0,50.0,50.0,49.0,45.0,45.0
118,49.0,48.0,49.0,48.0,53.0,53.0,50.0,46.0,46.0
119,54.0,53.0,54.0,53.0,53.0,53.0,50.0,50.0,50.0
120,47.0,47.0,45.0,44.0,47.0,47.0,48.0,47.0,47.0
121,46.0,45.0,46.0,45.0,48.0,48.0,50.0,45.0,45.0
122,45.0,45.0,45.0,45.0,48.0,48.0,50.0,50.0,50.0
123,50.0,50.0,49.0,49.0,49.0,49.0,49.0,47.0,47.0
124,52.0,51.0,52.0,51.0,52.0,52.0,50.0,48.0,48.0
125,52.0,52.0,51.0,51.0,52.0,52.0,51.0,51.0,51.0
126,51.0,51.0,49.0,49.0,50.0,50.0,48.0,46.0,46.0
127,53.0,52.0,53.0,52.0,53.0,53.0,49.0,49.0,49.0
128,53.0,53.0,51.0,51.0,53.0,53.0,50.0,49.0,49.0
129,49.0,49.0,48.0,48.0,48.0,48.0,48.0,46.0,46.0
130,51.0,50.0,51.0,50.0,51.0,51.0,49.0,47.0,47.0
131,51.0,51.0,50.0,50.0,52.0,52.0,50.0,50.0,50.0
132,50.0,50.0,49.0,49.0,49.0,49.0,48.0,45.0,45.0
133,52.0,51.0,52.0,51.0,52.0,52.0,49.0,48.0,48.0
134,52.0,52.0,51.0,51.0,53.0,53.0,49.0,49.0,49.0
135,50.0,50.0,49.0,49.0,49.0,49.0,48.0,43.0,44.0
136,49.0,48.0,48.0,47.0,52.0,52.0,49.0,45.0,45.0
137,52.0,52.0,51.0,51.0,53.0,53.0,49.0,49.0,49.0
138,45.0,45.0,44.0,44.0,46.0,46.0,48.0,44.0,44.0
139,44.0,44.0,44.0,44.0,47.0,47.0,49.0,49.0,49.0
140,44.0,42.0,43.0,41.0,44.0,44.0,49.0,45.0,45.0
141,50.0,50.0,48.0,48.0,49.0,49.0,49.0,49.0,49.0
142,51.0,51.0,50.0,50.0,51.0,51.0,50.0,50.0,50.0
143,48.0,48.0,47.0,46.0,49.0,49.0,50.0,48.0,48.0
144,51.0,51.0,48.0,48.0,50.0,50.0,47.0,50.0,50.0
145,52.0,52.0,50.0,50.0,52.0,52.0,49.0,48.0,48.0
146,49.0,49.0,47.0,46.0,50.0,50.0,49.0,49.0,49.0
147,51.0,51.0,48.0,48.0,48.0,48.0,48.0,50.0,50.0
148,50.0,50.0,49.0,49.0,51.0,51.0,49.0,49.0,49.0
149,49.0,49.0,47.0,47.0,49.0,49.0,49.0,49.0,49.0
150,52.0,52.0,49.0,49.0,49.0,49.0,48.0,50.0,50.0
151,51.0,51.0,50.0,50.0,52.0,52.0,48.0,48.0,48.0
152,50.0,50.0,48.0,48.0,50.0,50.0,49.0,49.0,49.0
153,50.0,50.0,48.0,48.0,48.0,48.0,47.0,44.0,44.0
154,51.0,51.0,50.0,50.0,52.0,52.0,48.0,48.0,48.0
155,48.0,48.0,48.0,48.0,49.0,49.0,49.0,46.0,46.0
156,51.0,51.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0
157,49.0,49.0,49.0,49.0,50.0,50.0,48.0,48.0,48.0
158,49.0,49.0,46.0,46.0,49.0,49.0,49.0,49.0,49.0
159,52.0,52.0,48.0,48.0,48.0,48.0,47.0,49.0,49.0
160,50.0,50.0,50.0,50.0,51.0,51.0,48.0,48.0,48.0
161,50.0,50.0,47.0,47.0,50.0,50.0,49.0,48.0,48.0
162,50.0,50.0,49.0,49.0,49.0,49.0,47.0,43.0,43.0
163,50.0,50.0,50.0,50.0,51.0,51.0,48.0,48.0,48.0
164,48.0,48.0,47.0,47.0,49.0,49.0,48.0,45.0,45.0
165,49.0,49.0,47.0,47.0,47.0,47.0,46.0,43.0,43.0
166,47.0,47.0,46.0,46.0,47.0,47.0,46.0,44.0,44.0
167,47.0,47.0,46.0,46.0,48.0,48.0,48.0,44.0,44.0
